user_id,role,timestamp,action,dataset_name,ip_address,location,status,device_type,session_id,access_duration
user_13,analyst,03/16/2026 00:18:29,delete,finance_reports,130.94.191.63,Foreign,success,mobile,1b3a9e9d-4b16-4bff-bc84-49cddc66a976,6
user_6,analyst,03/16/2026 00:19:16,delete,finance_reports,211.110.57.141,Foreign,success,mobile,2cbc34a3-8313-41e4-be7f-3f437b44e86c,12
user_6,analyst,03/16/2026 00:20:11,delete,finance_reports,55.139.101.157,Foreign,success,mobile,99ba6101-14b5-4312-be95-eed9a19762a9,2
user_2,admin,03/16/2026 00:25:14,write,finance_reports,151.117.22.10,Foreign,success,mobile,a397afde-6105-4d68-87ec-dfa00812378e,15
user_9,analyst,03/16/2026 00:34:25,delete,finance_reports,205.37.230.149,Foreign,success,unknown,977d734e-9b8e-4d88-b006-f0b6dbf54f51,6
user_3,analyst,03/16/2026 00:35:29,delete,finance_reports,174.120.116.221,Unknown,failure,mobile,ef1b8703-f2c1-4a28-ba5b-f0d79a43a309,12
user_7,analyst,03/16/2026 00:44:46,delete,finance_reports,42.92.246.95,Unknown,success,unknown,14e8244b-8141-4a9f-aedf-0a48a48819e5,7
user_6,analyst,03/16/2026 00:46:49,delete,finance_reports,173.6.218.128,Unknown,failure,unknown,f0e48ffd-49d2-4f84-82ec-e891ad1ab1f3,16
user_10,analyst,03/16/2026 00:53:14,write,finance_reports,73.95.118.218,Foreign,success,unknown,7887d49c-37a5-4e4c-a841-72ed0950d489,7
user_1,admin,03/16/2026 00:56:35,write,finance_reports,192.76.80.2,Foreign,failure,unknown,82edca32-7f3d-47db-ba52-17c29e13afab,14
user_1,admin,03/16/2026 01:02:54,delete,finance_reports,52.37.173.55,Unknown,success,unknown,0ec753e3-e71f-40fa-8383-02847a82acf3,1
user_9,analyst,03/16/2026 01:07:21,delete,finance_reports,37.145.168.161,Unknown,success,unknown,ea115f15-3fa2-4887-9f97-8dfa4f9d916e,19
user_10,analyst,03/16/2026 01:13:44,write,finance_reports,132.58.6.142,Unknown,failure,mobile,deeecfa3-6b05-4555-87b8-e1ae210d2b90,4
user_1,admin,03/16/2026 01:16:15,write,finance_reports,212.83.128.21,Foreign,success,unknown,25fe34ee-705b-466b-9b4b-581ef750eec8,12
user_19,guest,03/16/2026 01:25:37,delete,finance_reports,94.83.54.16,Unknown,success,unknown,67f19f49-e94d-486b-bad2-c71007e56fe9,15
user_14,analyst,03/16/2026 01:35:59,delete,finance_reports,211.72.60.138,Foreign,success,mobile,5c7adb41-6bda-4430-b994-baf2cb7595a1,10
user_11,guest,03/16/2026 01:46:59,write,finance_reports,130.64.107.31,Unknown,failure,unknown,39589f61-fd43-420b-9172-5cddec828a9b,17
user_19,guest,03/16/2026 01:47:18,write,finance_reports,167.69.203.163,Unknown,success,mobile,8797977a-4f0c-4b8c-a68b-a89c9a531a5f,16
user_9,analyst,03/16/2026 01:51:07,write,finance_reports,217.126.225.218,Unknown,failure,unknown,a4ce8e26-e5e5-4406-b416-6bda46e842b7,6
user_8,analyst,03/16/2026 01:52:36,write,finance_reports,46.57.251.15,Unknown,success,unknown,18676c96-ce9c-415a-8d30-2a0aa528a9cb,13
user_4,analyst,03/16/2026 01:54:39,delete,finance_reports,146.241.77.122,Foreign,failure,unknown,07c88a89-75c2-4b6f-b5c7-9aedb66c0d51,17
user_15,analyst,03/16/2026 01:56:24,delete,finance_reports,93.191.206.121,Foreign,failure,unknown,44f18dcc-e4b1-4bbc-9ff7-b37442110749,10
user_11,guest,03/16/2026 01:57:23,delete,finance_reports,205.184.127.223,Unknown,success,mobile,2cb4e58c-7351-4ff2-91d6-701a15f3555c,3
user_17,analyst,03/16/2026 01:57:36,delete,finance_reports,124.188.56.89,Foreign,failure,unknown,b97b5129-5b4f-4865-98a9-da39b79dd028,14
user_7,analyst,03/16/2026 02:00:04,write,finance_reports,99.217.205.2,Unknown,success,mobile,2138b1a6-dd03-4e9b-a679-08ac1a25faec,9
user_5,guest,03/16/2026 02:03:08,write,finance_reports,182.32.238.8,Foreign,success,unknown,cc8eec8e-8885-4d9f-8c04-847c2f12336a,1
user_6,analyst,03/16/2026 02:06:31,write,finance_reports,73.161.189.239,Foreign,failure,unknown,549df74a-28dd-46c5-9f29-d480398a1365,17
user_17,analyst,03/16/2026 02:08:45,delete,finance_reports,128.82.204.11,Unknown,success,unknown,10a62a53-aadb-4ff4-9332-1b5419edb22b,19
user_14,analyst,03/16/2026 02:10:24,delete,finance_reports,84.15.177.111,Foreign,success,unknown,12ef2027-0e92-4b3f-83ad-b84805487096,10
user_6,analyst,03/16/2026 02:12:38,write,finance_reports,108.69.210.60,Unknown,failure,mobile,35f8769b-ebf4-4e09-85bd-39e5a028b54f,4
user_18,analyst,03/16/2026 02:15:34,write,finance_reports,171.153.6.26,Foreign,failure,mobile,506ffdf3-fc6d-4998-9dd8-8c8c0a63007c,12
user_10,analyst,03/16/2026 02:15:41,delete,finance_reports,68.219.247.113,Unknown,success,unknown,347cc123-7132-4ebc-9d08-f6606cfea8b6,14
user_12,analyst,03/16/2026 02:19:26,delete,finance_reports,142.51.204.180,Unknown,success,unknown,dc4069b8-a044-41ad-8ba0-479bfe68d3ab,3
user_3,analyst,03/16/2026 02:25:38,delete,finance_reports,36.171.57.217,Foreign,success,unknown,15c0190a-49d1-4e8e-8daf-76086138ba5d,5
user_3,analyst,03/16/2026 02:26:00,write,finance_reports,207.250.10.206,Foreign,success,mobile,55baef64-b47c-43da-ac96-e533d2606023,1
user_13,analyst,03/16/2026 02:31:01,write,finance_reports,128.141.14.77,Foreign,failure,unknown,2be9a607-0436-4c3b-9f31-b54a8bbf40d8,12
user_12,analyst,03/16/2026 02:32:33,delete,finance_reports,166.64.186.13,Unknown,success,mobile,c037d29c-b1cd-46e0-89ad-8d2b94cbbca4,4
user_3,analyst,03/16/2026 02:34:58,delete,finance_reports,72.178.113.162,Foreign,failure,mobile,56e56a02-6739-4244-9279-d326da22e66b,9
user_10,analyst,03/16/2026 02:36:07,write,finance_reports,31.169.240.38,Unknown,failure,mobile,6c6b972c-490d-4cc5-b740-b7b48dbe3980,18
user_10,analyst,03/16/2026 02:37:53,write,finance_reports,131.234.236.9,Unknown,failure,unknown,b9e4d376-69d1-422f-8931-7db9b65aa75d,13
user_17,analyst,03/16/2026 02:38:30,delete,finance_reports,112.97.116.171,Foreign,success,unknown,9302183d-b9e1-47dc-a792-b797ac94d5a6,19
user_13,analyst,03/16/2026 02:39:25,write,finance_reports,108.203.54.104,Unknown,success,unknown,3e7b2253-7b9d-4a03-ba82-c05e87f9ba7e,12
user_10,analyst,03/16/2026 02:45:53,write,finance_reports,10.97.128.83,Foreign,failure,unknown,69e48935-3db4-4529-8893-0460ae479537,11
user_14,analyst,03/16/2026 02:54:38,delete,finance_reports,141.107.230.33,Foreign,failure,mobile,8187b9a9-f63d-4d83-a952-a7baae32f624,8
user_11,guest,03/16/2026 02:59:51,delete,finance_reports,182.132.106.206,Unknown,failure,unknown,27130de6-52fe-4410-9c07-2b22204021f4,1
user_6,analyst,03/16/2026 03:03:23,delete,finance_reports,170.156.42.87,Unknown,success,unknown,f2abd55b-62ee-41db-bbd4-4d3fee414dcd,20
user_17,analyst,03/16/2026 03:06:21,delete,finance_reports,114.146.6.16,Foreign,failure,mobile,c96cf9a4-bbe4-4e16-ba8c-e9a72804e556,7
user_16,analyst,03/16/2026 03:10:33,delete,finance_reports,58.43.107.90,Foreign,success,unknown,6075902a-8fc4-4452-9faa-e739b2021f21,16
user_1,admin,03/16/2026 03:12:01,delete,finance_reports,145.231.245.10,Foreign,failure,unknown,f6d18f4e-eb45-45a3-816a-54358bb01f26,14
user_14,analyst,03/16/2026 03:20:12,write,finance_reports,59.159.42.11,Unknown,failure,unknown,e6a46c22-a73e-4560-ad44-f713e963aa43,10
user_4,analyst,03/16/2026 03:21:24,delete,finance_reports,191.243.236.220,Foreign,success,unknown,32078c0a-25dd-4b16-8c06-491ab1bc8026,9
user_8,analyst,03/16/2026 03:25:31,delete,finance_reports,79.140.206.130,Foreign,failure,unknown,56ffa027-cff3-41b0-a05d-36625a92b169,3
user_16,analyst,03/16/2026 03:25:39,write,finance_reports,24.104.252.19,Foreign,success,mobile,7c1ea25c-c2fa-4cf0-b19e-3c216acbd8ef,8
user_14,analyst,03/16/2026 03:31:34,write,finance_reports,204.103.86.162,Foreign,success,mobile,42d75a1c-e096-41f4-9863-76c5ffcb848d,5
